di,case_num,date,block,iucr,type,description,loc_descrip,arrest,domestic,beat,district,ward,community,fbi_code,x_coordinate,y_coordinate,year,updated_on,latitude,longitude,location
22843,HZ473291,10/13/2016 22:22,070XX S ASHLAND AVE,110,HOMICIDE,FIRST DEGREE MURDER,GAS STATION,TRUE,FALSE,734,7,17,67,01A,1166899,1857936,2016,11/16/2016 15:50,41.76573639,-87.66381882,"(41.76573639, -87.66381882)"
22846,HZ474466,10/14/2016 19:26,045XX W MAYPOLE AVE,110,HOMICIDE,FIRST DEGREE MURDER,STREET,FALSE,FALSE,1113,11,28,26,01A,1146254,1901076,2016,10/21/2016 15:58,41.88453482,-87.73839558,"(41.884534818, -87.738395577)"
22847,HZ474538,10/14/2016 20:21,055XX W CONGRESS PKWY,110,HOMICIDE,FIRST DEGREE MURDER,AUTO,FALSE,FALSE,1522,15,29,25,01A,1139758,1897140,2016,10/21/2016 15:58,41.87385503,-87.76234625,"(41.873855027, -87.762346249)"
22848,HZ474538,10/14/2016 20:42,055XX W CONGRESS PKWY,110,HOMICIDE,FIRST DEGREE MURDER,AUTO,FALSE,FALSE,1522,15,29,25,01A,1139758,1897140,2016,10/21/2016 15:58,41.87385503,-87.76234625,"(41.873855027, -87.762346249)"
22849,HZ474583,10/14/2016 20:33,033XX W MAYPOLE AVE,110,HOMICIDE,FIRST DEGREE MURDER,STREET,FALSE,FALSE,1123,11,28,27,01A,1154150,1900785,2016,10/21/2016 15:58,41.88358241,-87.70940798,"(41.883582411, -87.709407976)"
22850,HZ474617,10/14/2016 21:35,060XX N TALMAN AVE,110,HOMICIDE,FIRST DEGREE MURDER,STREET,FALSE,FALSE,2413,24,50,2,01A,1157573,1939979,2016,10/21/2016 15:58,41.99106445,-87.69576803,"(41.99106445, -87.69576803)"
22851,HZ474951,10/15/2016 4:45,061XX S RHODES AVE,110,HOMICIDE,FIRST DEGREE MURDER,STREET,FALSE,FALSE,313,3,20,42,01A,1180959,1864359,2016,10/22/2016 15:48,41.78304986,-87.61208712,"(41.783049864, -87.61208712)"
22852,HZ475009,10/15/2016 7:25,026XX W 23RD ST,110,HOMICIDE,FIRST DEGREE MURDER,STREET,FALSE,FALSE,1034,10,28,30,01A,1159089,1888631,2016,10/22/2016 15:48,41.85013066,-87.69160515,"(41.850130656, -87.691605154)"
22853,HZ475669,10/15/2016 17:29,036XX S LAKE PARK AVE,110,HOMICIDE,FIRST DEGREE MURDER,APARTMENT,FALSE,FALSE,212,2,4,36,01A,1182233,1881257,2016,10/22/2016 15:48,41.82938992,-87.60689263,"(41.829389915, -87.606892634)"
22854,HZ476902,10/16/2016 18:47,068XX S MAPLEWOOD AVE,110,HOMICIDE,FIRST DEGREE MURDER,ALLEY,FALSE,FALSE,832,8,15,66,01A,1160550,1859311,2016,10/23/2016 15:53,41.76964284,-87.68705227,"(41.769642844, -87.687052266)"
22855,HZ477067,10/17/2016 11:41,045XX N HAZEL ST,110,HOMICIDE,FIRST DEGREE MURDER,AUTO,FALSE,FALSE,1914,19,46,3,01A,1169443,1930478,2016,10/24/2016 16:01,41.96474268,-87.65238516,"(41.964742678, -87.652385158)"
22856,HZ478467,10/17/2016 21:18,067XX S WINCHESTER AVE,110,HOMICIDE,FIRST DEGREE MURDER,STREET,FALSE,FALSE,726,7,15,67,01A,1164518,1859966,2016,10/24/2016 16:01,41.77135751,-87.67248883,"(41.771357512, -87.672488834)"
22857,HZ478558,10/17/2016 23:32,073XX S MORGAN ST,110,HOMICIDE,FIRST DEGREE MURDER,STREET,FALSE,FALSE,733,7,17,68,01A,1170917,1856098,2016,10/24/2016 16:01,41.76060592,-87.64914511,"(41.76060592, -87.649145106)"
22858,HZ478777,10/18/2016 7:05,117XX S HALSTED ST,110,HOMICIDE,FIRST DEGREE MURDER,STREET,FALSE,FALSE,524,5,34,53,01A,1173094,1827146,2016,10/25/2016 15:52,41.68110974,-87.64201841,"(41.681109736, -87.642018411)"
22859,HZ479557,10/18/2016 18:40,098XX S EWING AVE,110,HOMICIDE,FIRST DEGREE MURDER,STREET,FALSE,FALSE,432,4,10,52,01A,1202130,1840430,2016,10/25/2016 15:52,41.7168737,-87.53528292,"(41.716873697, -87.535282917)"
22860,HZ479826,10/18/2016 20:04,003XX E 130TH ST,110,HOMICIDE,FIRST DEGREE MURDER,PORCH,TRUE,TRUE,533,5,9,54,01A,1180725,1819193,2016,10/25/2016 15:52,41.65911409,-87.61432803,"(41.659114092, -87.614328029)"
